KOI,radius_rearth,radius_rearth_uperr,radius_rearth_lowerr,mass_mearth,mass_mearth_uperr,mass_mearth_lowerr
232.05,2.22,0.36,-0.35,5.594944667061562,4.615109074169838,-2.4647483828006163
233.01,5.31,0.7,-0.64,23.407139765841674,19.307876942853223,-10.84371312795765
234.01,3.27,0.97,-0.53,10.64250943930535,10.02557847960075,-5.385100348381512
235.01,2.04,0.28,-0.16,5.043775592974663,4.160465543878022,-2.040774048538814
236.01,32.77,9.1,-5.58,88211.9713059199,27301.2331051784,-23585.95179238
237.01,2.6,0.37,-0.28,7.028843665069428,6.341178650484584,-3.096425807109346
238.01,2.79,0.45,-0.41,7.960345761352788,7.498895970949529,-3.6877511177777764
238.02,1.4,0.23,-0.2,2.7071699179905626,2.233066669522509,-1.1925931487072345
238.03,1.96,0.33,-0.29,4.739491314578365,4.090737795432424,-1.9755836926420467
239.01,4.59,0.76,-0.69,18.632033666488855,16.809173703521555,-8.631572677867041
239.02,1.62,0.27,-0.24,3.5450275907328415,2.9241913862869584,-1.520128415887052
240.01,4.14,1.31,-0.43,15.141893253043536,14.264139487390826,-7.181547491690748
241.01,2.2,0.15,-0.08,5.712205246829019,4.082965525003277,-2.381044459338494
241.02,1.51,0.11,-0.05,3.130196284260946,2.4647483828006163,-1.0195307453605724
241.03,1.06,0.07,-0.04,1.205599899777167,0.7370180056761584,-0.4093616378818433
242.01,5.53,1.59,-0.53,25.431992122227253,26.049680987137368,-11.781756746219642
243.01,9.16,3.03,-1.01,178.85731584142974,10678.364701296503,-145.55422941103808
244.01,4.75,0.28,-0.22,21.10125609415613,14.339951275854279,-9.53810831408771
244.02,2.53,0.14,-0.12,7.176156343264998,5.387270294619024,-3.077177509918945
245.01,1.9,0.08,-0.07,4.838823038558082,2.798056072117186,-1.8974673361267045
245.02,0.72,0.03,-0.03,0.30037699390135936,0.16396165656952838,-0.09783526420411914
245.03,0.27,0.01,-0.01,0.009022217932540676,0.0038143655461339854,-0.0028111086703120495
245.04,0.0,0.0,0.0,nan,nan,nan
246.01,2.21,0.12,-0.11,5.831923410073292,4.168537578548522,-2.359668412869328
246.02,0.91,0.05,-0.04,0.7030642174087853,0.4298034426451647,-0.2387255669378976
247.01,1.91,0.13,-0.19,4.739491314578365,3.387689833837489,-1.798135612146988
248.01,2.25,0.13,-0.17,6.0165451286263725,4.407494074910318,-2.615568843667318
248.02,2.13,0.12,-0.16,5.594944667061562,4.200226104770734,-2.3991447615102577
248.03,1.57,0.09,-0.12,3.4722549972039642,2.4818956663845677,-1.2721903853741514
248.04,1.53,0.08,-0.12,3.1957999055513047,2.284291315760782,-1.1284622678890832
249.01,1.57,0.21,-0.24,3.3311607874905254,2.6229898760980066,-1.306261612644736
250.01,2.83,0.16,-0.22,8.830229110010789,7.283802238925885,-3.9914060714527073
250.02,2.64,0.15,-0.2,7.636879110675268,6.013356265332344,-3.183315008368356
250.03,1.21,0.06,-0.1,1.825422348937302,1.5057384385532233,-0.644571094754399
250.04,2.13,0.12,-0.16,5.367595495752086,4.42757527608021,-2.23739921149114
251.01,2.54,0.19,-0.21,7.176156343264998,5.919405146656712,-2.9035616996899867
251.02,0.8,0.06,-0.06,0.46433865047088774,0.29954466963698345,-0.17012781813615552
252.01,2.64,0.15,-0.23,7.636879110675268,5.458682379246443,-3.364284467100256
253.01,2.73,0.1,-0.17,7.960345761352788,5.975975467045159,-3.5067816590458767
253.02,1.57,0.06,-0.1,3.4009762849590546,2.430947125114238,-1.1077260247839735
254.01,10.6,0.43,-0.71,2790.728251768416,12028.952184176118,-2651.40068999657
255.01,2.47,0.17,-0.21,7.028843665069428,5.5345829728145945,-3.0140089781052932
255.02,0.75,0.05,-0.06,0.34018465115299407,0.24315691449707394,-0.12012189570264742
255.03,0.57,0.04,-0.05,0.1337686531370906,0.07301800873816128,-0.04901114535726611
256.01,6.51,0.52,-0.77,34.71366759433909,28.634306833366757,-16.081633927850238
257.01,2.63,0.07,-0.09,7.480108680791123,6.456212547606825,-3.1179676779881973
258.01,96.99,14.5,-36.27,nan,nan,nan
259.01,40.73,6.4,-11.89,111980.64750423045,36178.24662133503,-29090.38719435972
260.01,1.34,0.08,-0.05,2.390382867628203,1.7085959657178504,-0.7447864876239776
260.02,2.51,0.14,-0.1,7.028843665069428,5.024071286837468,-3.0140089781052932
260.03,1.51,0.08,-0.07,3.3311607874905254,2.263783879571037,-1.1310961756607125
261.01,2.76,0.42,-0.24,8.127181148415854,6.703878178865882,-3.580277873026044
262.01,1.68,0.09,-0.09,4.014834686964135,2.8697203456689007,-1.4709847323239074
262.02,1.89,0.1,-0.1,4.739491314578365,3.731923653363684,-1.7364897701425162
263.01,2.51,0.13,-0.14,6.884555032633036,5.4209686364733605,-2.7855761992869823
264.01,1.77,0.43,-0.64,3.932417857960082,4.1947632904557715,-2.1444679165620064
